,name,track_id,album,artist,artist_id,length,popularity,type,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,key,release_year,release_month,followers,genre
401,Hungry Like the Wolf - 2009 Remaster,spotify:track:39lSeqnyjZJejRuaREfyLL,Rio (Collector's Edition),Duran Duran,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT,3.6771,74,track,0,0.0433,0.691,0.812,1.16e-06,0.299,-7.772,0.0558,127.568,4,0.685,0,1982,5,2325768,dance rock
402,Rio - 2009 Remaster,spotify:track:43eBgYRTmu5BJnCJDBU5Hb,Rio (Collector's Edition),Duran Duran,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT,5.622216666666667,66,track,0,0.0415,0.544,0.873,1.82e-05,0.0925,-7.425,0.0525,140.902,4,0.676,9,1982,5,2325768,dance rock
403,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",spotify:track:4ICKuJDY5F2XdTR4fIMA7W,Timeless - The All-Time Greatest Hits,Bee Gees,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,4.740433333333334,49,track,0,0.0198,0.7,0.744,0.0081,0.155,-8.217,0.0346,103.559,4,0.903,10,2017,4,5793300,disco
404,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",spotify:track:49OMJ1prsRA7ZYgrAjz70c,Greatest,Bee Gees,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,3.2868833333333334,64,track,0,0.163,0.632,0.683,0.00013,0.847,-6.434,0.0383,105.955,4,0.701,7,1979,1,5793300,disco
405,Gaslamp Funworks,spotify:track:7KKlzblKVFPkafwa93sDgv,Music to Delight,Kevin MacLeod,spotify:artist:4fSMtiyC6lF5BUO1tUMWMs,2.4777,3,track,0,0.32,0.664,0.57,0.781,0.2,-9.57,0.0355,82.02,4,0.487,0,2014,12,150050,
406,Stringed Disco,spotify:track:5pWR9sbyPzEjF20iSpRzOJ,Disco Ultralounge,Kevin MacLeod,spotify:artist:4fSMtiyC6lF5BUO1tUMWMs,2.9161333333333332,24,track,0,0.17,0.722,0.652,0.0521,0.173,-10.461,0.0298,118.049,4,0.59,5,2014,12,150050,
407,Local Forecast - Elevator,spotify:track:5sRQNFKwE9kgNleZgnCpgw,Disco Ultralounge,Kevin MacLeod,spotify:artist:4fSMtiyC6lF5BUO1tUMWMs,3.1534,47,track,0,0.664,0.627,0.384,0.961,0.782,-19.31,0.0425,163.926,4,0.9,7,2014,12,150050,
408,Who Likes to Party,spotify:track:1Qfrgdb3t70qshkHpu15IB,Disco Ultralounge,Kevin MacLeod,spotify:artist:4fSMtiyC6lF5BUO1tUMWMs,4.2914666666666665,33,track,0,0.0335,0.759,0.82,0.872,0.0378,-7.748,0.0547,117.035,4,0.965,2,2014,12,150050,
409,One Week,spotify:track:1C0pmryC2MdXfa7MZ9uIrU,Stunt,Barenaked Ladies,spotify:artist:0dEvJpkqhrcn64d3oI8v79,2.8293333333333335,0,track,0,0.00854,0.702,0.898,0.000154,0.0917,-6.003,0.0373,112.845,4,0.731,9,1998,7,662090,canadian pop
410,Hush,spotify:track:4aU82r5G2KTUh3HmPHCbM1,Shades of Deep Purple,Deep Purple,spotify:artist:568ZhdwyaiCyOGJRtNYhWf,4.416216666666666,54,track,0,0.00533,0.577,0.664,0.111,0.142,-9.153,0.0461,108.442,4,0.164,10,1968,7,4625494,album rock
